MARRIAGE_DAYS_futcov,darts_enc_fc_cus_custom_1_futcov,TOTAL_FESTIVAL_DAYS_futcov,FESTIVE_PHASE_I_futcov,darts_enc_fc_pos_relative_futcov,PROP_FESTIVE_PHASE_III_futcov,darts_enc_fc_cyc_month_sin_futcov,darts_enc_fc_cus_custom_futcov,darts_enc_fc_cyc_month_cos_futcov,PROP_FESTIVE_PHASE_I_futcov,PROP_PITRU_PAKSH_futcov,FESTIVE_PHASE_III_futcov,PROP_FESTIVE_PHASE_II_futcov,PITRU_PAKSH_futcov,LAST_YEAR_CONTRIBUTION_futcov,FESTIVE_PHASE_II_futcov
0.5,0.8999999999999999,2.3,3.9,2.5,2.9000000000000004,4.9,5.800000000000001,7.9,7.000000000000001,11.4,8.9,9.2,9.4,8.7,13.8
0.4,1.2,2.7,2.4,2.4,4.0,2.1999999999999997,7.7,4.7,5.4,5.4,5.6000000000000005,24.5,7.7,17.1,6.4
0.6,0.7000000000000001,2.5,4.3999999999999995,2.6,4.2,7.8,6.9,5.2,7.3999999999999995,14.2,8.200000000000001,6.7,10.9,8.9,9.0
0.6,0.8,1.7999999999999998,3.2,1.9,4.1000000000000005,5.2,6.2,6.6000000000000005,7.5,10.8,9.1,16.400000000000002,9.700000000000001,8.3,8.0
0.4,0.8999999999999999,2.6,3.5000000000000004,2.6,3.5999999999999996,5.0,6.6000000000000005,7.3,7.1,10.7,8.6,8.9,10.6,11.200000000000001,10.4
0.4,1.0,2.8000000000000003,3.5999999999999996,2.9000000000000004,3.5000000000000004,5.1,6.5,7.3,6.9,10.5,8.5,7.199999999999999,11.0,11.700000000000001,11.200000000000001
0.4,0.8,2.7,3.5000000000000004,2.6,4.1000000000000005,6.1,6.7,5.8999999999999995,7.1,11.1,9.6,8.200000000000001,10.8,10.4,9.9
0.4,0.8,2.9000000000000004,3.2,2.4,4.8,5.800000000000001,6.0,5.8999999999999995,6.9,10.299999999999999,10.9,8.0,10.100000000000001,9.2,12.2
0.3,1.0,3.2,3.4000000000000004,3.5000000000000004,4.0,5.2,5.7,6.1,6.2,8.0,9.0,9.6,10.4,11.600000000000001,12.7
0.3,1.2,3.0,2.6,2.5,4.8,3.2,5.8999999999999995,5.7,5.800000000000001,6.800000000000001,8.3,18.3,8.200000000000001,10.8,12.7
0.5,0.8,2.3,4.2,2.9000000000000004,2.1999999999999997,5.2,5.5,7.199999999999999,7.3,12.1,9.1,6.6000000000000005,8.5,9.0,16.6
0.4,1.0999999999999999,2.8000000000000003,3.5999999999999996,2.8000000000000003,3.5000000000000004,3.4000000000000004,5.800000000000001,6.1,5.8999999999999995,7.9,6.800000000000001,16.3,8.7,14.000000000000002,11.1
0.3,0.8999999999999999,3.1,4.1000000000000005,4.6,3.9,6.2,6.4,3.3000000000000003,6.6000000000000005,9.0,9.1,7.000000000000001,10.9,14.499999999999998,10.0
0.4,1.0999999999999999,2.7,2.1999999999999997,2.3,4.5,2.3,8.0,4.0,5.5,5.4,6.0,23.9,8.0,17.5,6.5
