darts_enc_pc_cyc_month_sin_pastcov,FESTIVE_PHASE_I_futcov,LAST_YEAR_CONTRIBUTION_futcov,darts_enc_fc_cus_custom_1_futcov,MARRIAGE_DAYS_futcov,darts_enc_fc_pos_relative_futcov,darts_enc_pc_cus_custom_pastcov,darts_enc_fc_cyc_month_sin_futcov,darts_enc_pc_pos_relative_pastcov,PROP_PITRU_PAKSH_futcov,darts_enc_fc_cus_custom_futcov,PROP_FESTIVE_PHASE_I_futcov,TOTAL_FESTIVAL_DAYS_futcov,PROP_FESTIVE_PHASE_III_futcov,FESTIVE_PHASE_III_futcov,darts_enc_fc_cyc_month_cos_futcov,FESTIVE_PHASE_II_futcov,darts_enc_pc_cus_custom_1_pastcov,NET_SALES_target,darts_enc_pc_cyc_month_cos_pastcov,PITRU_PAKSH_futcov,PROP_FESTIVE_PHASE_II_futcov
2.1999999999999997,0.3,0.6,1.2,0.4,1.6,0.3,4.0,3.8,2.3,2.7,4.1000000000000005,3.1,3.6999999999999997,12.1,4.2,9.4,8.200000000000001,20.3,5.5,6.2,3.8
1.9,0.4,0.5,1.6,0.3,1.7000000000000002,0.3,3.9,2.0,2.7,2.4,3.2,3.1,3.5999999999999996,11.899999999999999,3.9,12.5,3.0,18.2,7.1,11.600000000000001,4.1000000000000005
1.9,0.4,0.5,1.6,0.3,1.7000000000000002,0.4,3.9,1.9,2.7,2.4,3.2,3.1,3.5999999999999996,11.700000000000001,3.8,12.9,3.0,18.0,6.9,12.3,4.0
2.0,0.4,0.5,1.5,0.3,1.7000000000000002,0.3,4.1000000000000005,2.4,2.7,2.5,3.3000000000000003,3.1,3.5999999999999996,12.0,3.9,12.3,2.9000000000000004,19.900000000000002,6.0,10.6,4.0
2.1,0.3,0.7000000000000001,1.4000000000000001,0.3,1.7999999999999998,0.3,3.9,3.6999999999999997,2.6,2.7,4.0,3.2,3.5999999999999996,11.5,4.0,11.4,2.8000000000000003,20.599999999999998,5.2,9.8,3.9
2.0,0.3,0.7000000000000001,1.4000000000000001,0.3,1.9,0.3,4.0,4.1000000000000005,2.5,2.5,3.9,3.1,3.4000000000000004,11.4,3.9,10.8,2.7,23.0,4.7,9.4,3.9
1.7999999999999998,0.3,0.6,1.2,0.3,1.6,0.3,3.5000000000000004,3.4000000000000004,2.1999999999999997,2.1999999999999997,3.5000000000000004,2.7,3.0,10.0,3.4000000000000004,9.5,14.000000000000002,20.7,4.0,8.200000000000001,3.5000000000000004
1.9,0.4,0.5,1.7000000000000002,0.3,1.7000000000000002,0.4,3.8,1.9,2.8000000000000003,2.5,3.2,3.1,3.5000000000000004,11.200000000000001,3.6999999999999997,12.9,3.1,18.6,5.8999999999999995,13.200000000000001,4.0
2.1,0.3,0.7000000000000001,1.2,0.4,1.7000000000000002,0.3,3.9,4.3,2.4,2.5,4.1000000000000005,3.0,3.3000000000000003,10.9,3.9,10.0,8.3,22.5,3.6999999999999997,7.000000000000001,3.6999999999999997
2.1,0.3,0.8999999999999999,1.0999999999999999,0.4,1.9,0.3,4.2,7.9,2.1999999999999997,2.6,4.6,3.0,3.4000000000000004,11.3,4.1000000000000005,8.6,2.6,24.9,3.8,6.0,3.6999999999999997
1.7999999999999998,0.3,0.7000000000000001,1.3,0.3,1.7999999999999998,0.3,3.8,4.1000000000000005,2.3,2.3,3.9,2.9000000000000004,3.1,10.6,3.5999999999999996,9.4,8.200000000000001,22.8,4.3,8.200000000000001,3.8
1.9,0.4,0.5,1.6,0.3,1.7999999999999998,0.4,3.8,2.0,2.7,2.5,3.2,3.1,3.5000000000000004,11.5,3.6999999999999997,12.5,3.0,19.1,5.8999999999999995,12.7,4.0
2.1,0.3,0.7000000000000001,1.3,0.3,1.7999999999999998,0.3,4.2,4.3999999999999995,2.5,2.6,4.0,3.1,3.5999999999999996,11.799999999999999,4.1000000000000005,10.5,2.7,22.3,5.1,8.200000000000001,4.0
