MARRIAGE_DAYS_futcov,FESTIVE_PHASE_I_futcov,TOTAL_FESTIVAL_DAYS_futcov,darts_enc_fc_cus_custom_1_futcov,PROP_FESTIVE_PHASE_II_futcov,PROP_FESTIVE_PHASE_III_futcov,darts_enc_fc_pos_relative_futcov,FESTIVE_PHASE_II_futcov,LAST_YEAR_CONTRIBUTION_futcov,darts_enc_fc_cyc_month_cos_futcov,darts_enc_fc_cus_custom_futcov,PROP_FESTIVE_PHASE_I_futcov,FESTIVE_PHASE_III_futcov,PROP_PITRU_PAKSH_futcov,PITRU_PAKSH_futcov,darts_enc_fc_cyc_month_sin_futcov
1.4000000000000001,1.3,4.0,2.8000000000000003,4.3,5.2,3.4000000000000004,6.800000000000001,10.6,5.5,14.2,19.8,4.7,1.9,7.3,6.800000000000001
1.3,1.5,3.9,2.7,4.2,5.0,3.4000000000000004,6.6000000000000005,9.9,5.4,14.000000000000002,20.599999999999998,4.8,2.1999999999999997,7.8,6.7
1.4000000000000001,1.4000000000000001,4.0,2.6,4.0,4.7,3.4000000000000004,6.800000000000001,9.2,5.4,14.2,20.200000000000003,4.9,2.4,7.8,7.6
1.3,1.4000000000000001,4.0,2.8000000000000003,4.2,5.1,3.4000000000000004,7.000000000000001,10.2,5.7,13.8,19.1,4.9,2.1999999999999997,7.7,7.199999999999999
1.3,1.5,4.0,2.8000000000000003,4.2,5.1,3.4000000000000004,7.000000000000001,10.2,5.7,13.8,19.1,4.9,2.1999999999999997,7.7,7.199999999999999
1.5,1.7999999999999998,1.4000000000000001,2.5,3.2,3.9,5.4,4.8,5.1,6.7,8.0,10.0,9.9,10.6,10.7,14.399999999999999
1.5,1.2,2.4,2.5,3.5000000000000004,4.1000000000000005,4.3999999999999995,6.5,4.7,6.2,10.8,14.2,7.3,7.6,9.6,13.5
1.5,1.3,2.1999999999999997,2.5,3.5999999999999996,4.2,4.5,6.6000000000000005,5.0,6.7,10.2,12.8,7.199999999999999,7.9,9.8,13.8
1.5,1.4000000000000001,2.0,2.5,3.4000000000000004,4.2,4.5,6.3,5.0,6.800000000000001,10.0,12.7,7.3,8.1,10.100000000000001,13.8
1.5,1.4000000000000001,2.0,2.5,3.4000000000000004,4.2,4.5,6.3,5.0,6.800000000000001,10.0,12.7,7.3999999999999995,8.200000000000001,10.2,13.8
1.6,2.3,1.2,2.4,2.7,3.8,5.8999999999999995,4.7,5.3,6.9,7.5,8.7,10.7,11.5,9.9,14.899999999999999
1.5,1.7000000000000002,1.6,2.5,5.1,4.2,4.7,5.7,5.800000000000001,8.7,7.3999999999999995,7.8,7.6,8.6,10.0,16.900000000000002
1.5,1.5,2.3,2.6,4.9,4.6,4.2,7.199999999999999,6.1,8.3,8.3,9.0,6.800000000000001,6.9,9.8,16.1
